0;Pacífico (Madrid Metro);40.40126;-3.6751312000000005
1;Sierra de Guadalupe (Madrid Metro);40.3821641;-3.6247187000000007
2;Atocha (Madrid Metro);40.408851299999995;-3.6924845
3;Portazgo (Madrid Metro);40.3926609;-3.6586792
4;Bilbao (Madrid Metro);40.4290543;-3.7021816
5;Antón Martín (Madrid Metro);40.41246760000001;-3.6993693
6;Chamberí (Madrid Metro);40.4323;-3.69772
7;Alvarado (Madrid Metro);40.4503359;-3.7033108
8;Estrecho (Madrid Metro);40.454283600000004;-3.7030217000000003
9;Pinar de Chamartín (Madrid Metro);40.4801375;-3.6667998999999996
10;Cuatro Caminos (Madrid Metro);40.446971600000005;-3.7039697
11;Villa de Vallecas (Madrid Metro);40.3795968;-3.6213019999999996
12;Iglesia (Madrid Metro);40.4349206;-3.6989767
13;Alto del Arenal (Madrid Metro);40.3897726;-3.6452193999999998
14;Puente de Vallecas (Madrid Metro);40.39819620000001;-3.6690553999999995
15;La Gavia (Madrid Metro);40.3692237;-3.6125821000000005
16;Tetuán (Madrid Metro);40.46055629999999;-3.6982512
17;Tirso de Molina (Madrid Metro);40.4123454;-3.70466
18;Menéndez Pelayo (Madrid Metro);40.404451;-3.6809847
19;Miguel Hernández (Madrid Metro);40.3873756;-3.6397031
20;Valdecarros (Madrid Metro);40.3600682;-3.5931642999999998
21;Tribunal (Madrid Metro);40.426187;-3.7011027000000003
22;Plaza de Castilla (Madrid Metro);40.4668983;-3.6891989
23;Buenos Aires (Madrid Metro);40.391561700000004;-3.6539084
24;Sol (Madrid Metro);40.4167635;-3.7036371
25;Valdeacederas (Madrid Metro);40.4644218;-3.6950594
26;Nueva Numancia (Madrid Metro);40.3955396;-3.6641392999999995
27;Madrid Atocha railway station;40.406528;-3.6893730000000002
28;Bambú (Madrid Metro);40.476811700000006;-3.6763701
29;Congosto (Madrid Metro);40.372384600000004;-3.6188449
30;Ríos Rosas (Madrid Metro);40.4419664;-3.7012714
31;Las Suertes (Madrid Metro);40.3632247;-3.5995284
32;Gran Vía (Madrid Metro);40.420010299999994;-3.7018052000000004
33;Madrid Chamartín railway station;40.472101;-3.6826857000000004
34;Las Rosas (Madrid Metro);40.4237466;-3.6033062999999994
35;La Almudena (Madrid Metro);40.4236175;-3.6391412000000005
36;Ventas (Madrid Metro);40.430885100000005;-3.6636615
37;Banco de España (Madrid Metro);40.4190564;-3.6949688999999997
38;Goya (Madrid Metro);40.4250659;-3.6743144
39;Ópera (Madrid Metro);40.4181665;-3.7094163
41;Santo Domingo (Madrid Metro);40.4213164;-3.7079598
42;Retiro (Madrid Metro);40.420302899999996;-3.6862483999999998
43;Manuel Becerra (Madrid Metro);40.427906899999996;-3.6692552000000003
44;Avenida de Guadalajara (Madrid Metro);40.4223943;-3.6120645
45;Alsacia (Madrid Metro);40.418288200000006;-3.6235082000000003
46;San Bernardo (Madrid Metro);40.4297496;-3.7057432999999995
47;Canal (Madrid Metro);40.4384107;-3.7043303999999995
49;La Elipa (Madrid Metro);40.4266173;-3.6505221
50;Príncipe de Vergara (Madrid Metro);40.4229427;-3.6801218
51;Plaza de España-Noviciado (Madrid Metro);40.4248706;-3.7074324
